Date,Value
2020-06-30,19477.444
2020-03-31,21481.367
2019-12-31,21694.458
2019-09-30,21505.012
2019-06-30,21289.268
2019-03-31,21001.591
2018-12-31,20813.325
2018-09-30,20659.102
2018-06-30,20492.492
2018-03-31,20143.716
2017-12-31,19882.965
2017-09-30,19558.693
2017-06-30,19322.92
2017-03-31,19153.912
2016-12-31,18968.041
2016-09-30,18775.459
2016-06-30,18611.617
2016-03-31,18425.306
2015-12-31,18332.079
2015-09-30,18306.96
2015-06-30,18193.707
2015-03-31,17991.348
2014-12-31,17852.54
2014-09-30,17743.227
2014-06-30,17462.703
2014-03-31,17144.281
2013-12-31,17133.114
2013-09-30,16911.068
2013-06-30,16699.551
2013-03-31,16629.05
2012-12-31,16420.386
2012-09-30,16319.54
2012-06-30,16207.13
2012-03-31,16068.824
2011-12-31,15842.267
2011-09-30,15647.681
2011-06-30,15557.535
2011-03-31,15351.444
2010-12-31,15309.471
2010-09-30,15141.605
2010-06-30,14980.193
2010-03-31,14764.611
